Metric,Value
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,-0.3468776475350439
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,30
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.462781
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,21.842365
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,24
design__max_fanout_violation__count__corner:max_tt_025C_1v80,25
design__max_cap_violation__count__corner:max_tt_025C_1v80,4
clock__skew__worst_hold__corner:max_tt_025C_1v80,-2.110895518129443
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.2708553180628073
timing__hold__ws__corner:max_tt_025C_1v80,-0.47033356318651337
timing__setup__ws__corner:max_tt_025C_1v80,11.267909590983834
timing__hold__tns__corner:max_tt_025C_1v80,-8.676307917700052
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,-0.47033356318651337
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,30
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.866901
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,20.185032
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,52
design__max_fanout_violation__count__corner:max_ss_100C_1v60,25
design__max_cap_violation__count__corner:max_ss_100C_1v60,18
clock__skew__worst_hold__corner:max_ss_100C_1v60,-2.122268643115357
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.2822297753163886
timing__hold__ws__corner:max_ss_100C_1v60,-0.6565375096075927
timing__setup__ws__corner:max_ss_100C_1v60,11.207930900605172
timing__hold__tns__corner:max_ss_100C_1v60,-10.335460779760723
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,-0.6565375096075927
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,30
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.905246
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,15.646920
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,18
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,25
design__max_cap_violation__count__corner:max_ff_n40C_1v95,1
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-2.105437661586027
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2646740401760858
timing__hold__ws__corner:max_ff_n40C_1v95,-0.3504889810916801
timing__setup__ws__corner:max_ff_n40C_1v95,11.241361937268179
timing__hold__tns__corner:max_ff_n40C_1v95,-6.85098619448732
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,-0.3504889810916801
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,30
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.480120
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,21.804497
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
design__max_slew_violation__count,52
design__max_fanout_violation__count,25
design__max_cap_violation__count,18
clock__skew__worst_hold,-2.1036493142873827
clock__skew__worst_setup,0.26362332507586433
timing__hold__ws,-0.6565375096075927
timing__setup__ws,11.207930900605172
timing__hold__tns,-10.640336912729474
timing__setup__tns,0.0
