Metric,Value
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,-0.38633541903537383
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,30
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.458390
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,21.871113
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,2
design__max_fanout_violation__count__corner:max_tt_025C_1v80,23
design__max_cap_violation__count__corner:max_tt_025C_1v80,1
clock__skew__worst_hold__corner:max_tt_025C_1v80,-2.109477097153066
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.27425970604180056
timing__hold__ws__corner:max_tt_025C_1v80,-0.4685154619099678
timing__setup__ws__corner:max_tt_025C_1v80,11.087575615904568
timing__hold__tns__corner:max_tt_025C_1v80,-9.719999302779922
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,-0.4685154619099678
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,30
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.837180
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,20.243055
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,36
design__max_fanout_violation__count__corner:max_ss_100C_1v60,23
design__max_cap_violation__count__corner:max_ss_100C_1v60,18
clock__skew__worst_hold__corner:max_ss_100C_1v60,-2.114638746185135
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.28466249607674926
timing__hold__ws__corner:max_ss_100C_1v60,-0.6561169571139708
timing__setup__ws__corner:max_ss_100C_1v60,10.862397511146362
timing__hold__tns__corner:max_ss_100C_1v60,-12.063156148765005
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,-0.6561169571139708
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,30
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.856264
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,15.758259
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,2
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,23
design__max_cap_violation__count__corner:max_ff_n40C_1v95,1
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-2.106714862189677
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2702824429658987
timing__hold__ws__corner:max_ff_n40C_1v95,-0.38263970852647977
timing__setup__ws__corner:max_ff_n40C_1v95,11.123029923064873
timing__hold__tns__corner:max_ff_n40C_1v95,-7.643956795003641
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,-0.38263970852647977
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,30
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.473155
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,21.842901
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
design__max_slew_violation__count,36
design__max_fanout_violation__count,23
design__max_cap_violation__count,18
clock__skew__worst_hold,-2.101527900071931
clock__skew__worst_setup,0.26486988352316854
timing__hold__ws,-0.6561169571139708
timing__setup__ws,10.862397511146362
timing__hold__tns,-12.164110951695417
timing__setup__tns,0.0
timing__hold__wns,-0.6561169571139708
timing__setup__wns,0.0
timing__hold_vio__count,270
timing__hold_r2r__ws,0.458390
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,15.758259
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,645
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__area,90000
design__instance__count__stdcell,0
design__instance__area__stdcell,0
design__instance__count__macros,1
design__instance__area__macros,90000
design__instance__utilization,0.0088461
design__instance__utilization__stdcell,0
design__instance__count__class:macro,1
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:vssa1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vdda1,0
design__power_grid_violation__count__net:vdda2,0
design__power_grid_violation__count__net:vssd2,0
design__power_grid_violation__count__net:vssa2,0
design__power_grid_violation__count__net:vccd2,0
design__power_grid_violation__count,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,89530.1
design__violations,0
antenna__violating__nets,6
antenna__violating__pins,6
route__antenna_violation__count,6
route__net,637
route__net__special,8
route__drc_errors__iter:1,113
route__wirelength__iter:1,91915
route__drc_errors__iter:2,16
route__wirelength__iter:2,91892
route__drc_errors__iter:3,11
route__wirelength__iter:3,91898
route__drc_errors__iter:4,0
route__wirelength__iter:4,91907
route__drc_errors,0
route__wirelength,91907
route__vias,543
route__vias__singlecut,543
route__vias__multicut,0
design__disconnected_pin__count,522
design__critical_disconnected_pin__count,0
route__wirelength__max,5204.12
timing__unannotated_net__count__corner:nom_tt_025C_1v80,337
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,337
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,337
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,337
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,337
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,337
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,337
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,337
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,337
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,337
timing__unannotated_net_filtered__count,0
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
